action,scenario,year,m_euro
Вартість палива,Консервативний,2012,20408
Вартість палива,Консервативний,2015,13507
Вартість палива,Консервативний,2020,12331
Вартість палива,Консервативний,2025,13485
Вартість палива,Консервативний,2030,15069
Вартість палива,Консервативний,2035,16750
Вартість палива,Консервативний,2040,18532
Вартість палива,Консервативний,2045,19776
Вартість палива,Консервативний,2050,20803
Нові капітальні інвестиції в технології виробництва е/е та тепла,Консервативний,2012,0
Нові капітальні інвестиції в технології виробництва е/е та тепла,Консервативний,2015,8
Нові капітальні інвестиції в технології виробництва е/е та тепла,Консервативний,2020,643
Нові капітальні інвестиції в технології виробництва е/е та тепла,Консервативний,2025,1509
Нові капітальні інвестиції в технології виробництва е/е та тепла,Консервативний,2030,2861
Нові капітальні інвестиції в технології виробництва е/е та тепла,Консервативний,2035,4598
Нові капітальні інвестиції в технології виробництва е/е та тепла,Консервативний,2040,5799
Нові капітальні інвестиції в технології виробництва е/е та тепла,Консервативний,2045,6752
Нові капітальні інвестиції в технології виробництва е/е та тепла,Консервативний,2050,7756
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Консервативний,2012,0
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Консервативний,2015,3326
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Консервативний,2020,11513
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Консервативний,2025,20841
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Консервативний,2030,26543
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Консервативний,2035,30292
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Консервативний,2040,32835
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Консервативний,2045,34874
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Консервативний,2050,36630
Нові капітальні інвестиції в проміжні технології,Консервативний,2012,0
Нові капітальні інвестиції в проміжні технології,Консервативний,2015,21
Нові капітальні інвестиції в проміжні технології,Консервативний,2020,367
Нові капітальні інвестиції в проміжні технології,Консервативний,2025,974
Нові капітальні інвестиції в проміжні технології,Консервативний,2030,1619
Нові капітальні інвестиції в проміжні технології,Консервативний,2035,2401
Нові капітальні інвестиції в проміжні технології,Консервативний,2040,3089
Нові капітальні інвестиції в проміжні технології,Консервативний,2045,3522
Нові капітальні інвестиції в проміжні технології,Консервативний,2050,3751
"Витрати на транспортування, постачання та проміжні технології",Консервативний,2012,1614
"Витрати на транспортування, постачання та проміжні технології",Консервативний,2015,1328
"Витрати на транспортування, постачання та проміжні технології",Консервативний,2020,2227
"Витрати на транспортування, постачання та проміжні технології",Консервативний,2025,3665
"Витрати на транспортування, постачання та проміжні технології",Консервативний,2030,5247
"Витрати на транспортування, постачання та проміжні технології",Консервативний,2035,7148
"Витрати на транспортування, постачання та проміжні технології",Консервативний,2040,8711
"Витрати на транспортування, постачання та проміжні технології",Консервативний,2045,9639
"Витрати на транспортування, постачання та проміжні технології",Консервативний,2050,10085
Експлуатаційні витрати (технології виробництва е/е та тепла),Консервативний,2012,1515
Експлуатаційні витрати (технології виробництва е/е та тепла),Консервативний,2015,1592
Експлуатаційні витрати (технології виробництва е/е та тепла),Консервативний,2020,2039
Експлуатаційні витрати (технології виробництва е/е та тепла),Консервативний,2025,2765
Експлуатаційні витрати (технології виробництва е/е та тепла),Консервативний,2030,3744
Експлуатаційні витрати (технології виробництва е/е та тепла),Консервативний,2035,4931
Експлуатаційні витрати (технології виробництва е/е та тепла),Консервативний,2040,6167
Експлуатаційні витрати (технології виробництва е/е та тепла),Консервативний,2045,7188
Експлуатаційні витрати (технології виробництва е/е та тепла),Консервативний,2050,8039
Експлуатаційні витрати (технології кінцевого енергоспоживання),Консервативний,2012,2880
Експлуатаційні витрати (технології кінцевого енергоспоживання),Консервативний,2015,3067
Експлуатаційні витрати (технології кінцевого енергоспоживання),Консервативний,2020,5582
