sphere,scenario,year,by_vde,ktne
загалом,Базовий,2012,dirt,65241.0
загалом,Базовий,2012,vde,1750.0
загалом,Базовий,2015,dirt,45665.0
загалом,Базовий,2015,vde,1861.0
загалом,Базовий,2020,dirt,55350.0
загалом,Базовий,2020,vde,2472.0
загалом,Базовий,2025,dirt,61018.0
загалом,Базовий,2025,vde,2872.0
загалом,Базовий,2030,dirt,65597.0
загалом,Базовий,2030,vde,2902.0
загалом,Базовий,2035,dirt,70869.0
загалом,Базовий,2035,vde,3199.0
загалом,Базовий,2040,dirt,75047.0
загалом,Базовий,2040,vde,3495.0
загалом,Базовий,2045,dirt,78298.0
загалом,Базовий,2045,vde,4020.0
загалом,Базовий,2050,dirt,80543.0
загалом,Базовий,2050,vde,4592.0
загалом,Революційний,2012,dirt,65240.0
загалом,Революційний,2012,vde,1751.3
загалом,Революційний,2015,dirt,46202.0
загалом,Революційний,2015,vde,1861.0
загалом,Революційний,2020,dirt,49923.0
загалом,Революційний,2020,vde,4826.0
загалом,Революційний,2025,dirt,44383.0
загалом,Революційний,2025,vde,10548.0
загалом,Революційний,2030,dirt,36858.0
загалом,Революційний,2030,vde,16576.0
загалом,Революційний,2035,dirt,31799.0
загалом,Революційний,2035,vde,21949.0
загалом,Революційний,2040,dirt,25572.0
загалом,Революційний,2040,vde,28178.0
загалом,Революційний,2045,dirt,18476.0
загалом,Революційний,2045,vde,34050.0
загалом,Революційний,2050,dirt,4608.1
загалом,Революційний,2050,vde,41084.0
населення,Базовий,2012,dirt,22328.0
населення,Базовий,2012,vde,1139.0
населення,Базовий,2015,dirt,15276.0
населення,Базовий,2015,vde,1279.0
населення,Базовий,2020,dirt,19673.0
населення,Базовий,2020,vde,717.0
населення,Базовий,2025,dirt,20406.0
населення,Базовий,2025,vde,663.0
населення,Базовий,2030,dirt,20902.0
населення,Базовий,2030,vde,579.0
населення,Базовий,2035,dirt,21652.0
населення,Базовий,2035,vde,479.0
населення,Базовий,2040,dirt,22442.0
населення,Базовий,2040,vde,375.0
населення,Базовий,2045,dirt,23223.0
населення,Базовий,2045,vde,346.0
населення,Базовий,2050,dirt,23699.0
населення,Базовий,2050,vde,366.0
населення,Революційний,2012,dirt,22328.0
населення,Революційний,2012,vde,1139.0
населення,Революційний,2015,dirt,15276.0
населення,Революційний,2015,vde,1279.0
населення,Революційний,2020,dirt,17228.0
населення,Революційний,2020,vde,1341.0
населення,Революційний,2025,dirt,14795.0
населення,Революційний,2025,vde,2361.0
населення,Революційний,2030,dirt,11889.0
населення,Революційний,2030,vde,3759.0
населення,Революційний,2035,dirt,10037.0
населення,Революційний,2035,vde,5499.0
населення,Революційний,2040,dirt,7625.0
населення,Революційний,2040,vde,7671.0
населення,Революційний,2045,dirt,5031.0
населення,Революційний,2045,vde,10047.0
населення,Революційний,2050,dirt,1237.0
населення,Революційний,2050,vde,9182.0
промисловість,Базовий,2012,dirt,24468.0
промисловість,Базовий,2012,vde,376.0
промисловість,Базовий,2015,dirt,16080.0
промисловість,Базовий,2015,vde,328.0
промисловість,Базовий,2020,dirt,17650.0
промисловість,Базовий,2020,vde,561.0
промисловість,Базовий,2025,dirt,21059.0
