action,scenario,year,m_euro
Вартість палива,Консервативний,2015,13507
Вартість палива,Консервативний,2050,20803
Вартість палива,Революційний,2015,13500
Вартість палива,Революційний,2050,4123
"Витрати на транспортування, постачання та проміжні технології",Консервативний,2015,1328
"Витрати на транспортування, постачання та проміжні технології",Консервативний,2050,10085
"Витрати на транспортування, постачання та проміжні технології",Революційний,2015,1307
"Витрати на транспортування, постачання та проміжні технології",Революційний,2050,4798
Експлуатаційні витрати,Консервативний,2015,4659
Експлуатаційні витрати,Консервативний,2050,36497
Експлуатаційні витрати,Революційний,2015,4659
Експлуатаційні витрати,Революційний,2050,33236
Капітальні інвестиції,Консервативний,2015,3355
Капітальні інвестиції,Консервативний,2050,48137
Капітальні інвестиції,Революційний,2015,3778
Капітальні інвестиції,Революційний,2050,59423
Субсидії («зелений» тариф),Консервативний,2015,286
Субсидії («зелений» тариф),Консервативний,2050,0
Субсидії («зелений» тариф),Революційний,2015,286
Субсидії («зелений» тариф),Революційний,2050,0
