scenario,2015,2020,2025,2030,2035,2040,2045,2050,action
Базовий,13507,12331,13485,15069,16750,18532,19776,20803,Вартість палива
Революційний,13500,10866,9246,8322,7204,6150,4934,4123,Вартість палива
Базовий,4659,7621,12422,17940,23966,29461,33490,36497,Експлуатаційні витрати
Революційний,4659,7652,12739,18128,22775,26614,29770,33236,Експлуатаційні витрати
Базовий,3355,12523,23324,31023,37291,41723,45148,48137,Капітальні інвестиції
Революційний,3778,14825,29105,39312,46109,49909,52473,59423,Капітальні інвестиції
Базовий,286,322,384,335,0,0,0,0,Субсидії («зелений» тариф)
Революційний,286,2445,7621,8827,0,0,0,0,Субсидії («зелений» тариф)
Базовий,1328,2227,3665,5247,7148,8711,9639,10085,"Транспортування, постачання та проміжні технології"
Революційний,1307,1743,2346,2758,3472,4184,4628,4798,"Транспортування, постачання та проміжні технології"
