year,sphere,Біопаливо та відходи,Вугілля,Газ,Електроенергія,Електроенергія з ВДЕ,Нафта та нафтопродукти,Сонячна енергія,Теплова енергія,Теплова енергія з ВДЕ
2012,Всього,1029.0,9212.0,21698.0,11130.0,710.0,11347.0,0.0,11853.0,12.3
2012,Домогосподарства,936.0,715.0,13760.0,3105.0,198.0,71.0,0.0,4677.0,5.0
2012,Промисловість,46.0,8310.0,5272.0,5102.0,0.0,1246.0,0.0,4538.0,5.0
2012,Сфера послуг,27.0,161.0,463.0,1861.0,119.0,78.0,0.0,2326.0,2.0
2012,Сільське господарство,20.0,14.0,153.0,312.0,20.0,1364.0,0.0,312.0,0.3
2012,Транспорт,0.0,12.0,2050.0,750.0,48.0,8588.0,0.0,0.0,0.0
2035,Всього,5695.0,5419.0,7615.0,6457.0,10964.0,5873.0,657.0,6435.0,3904.0
2035,Домогосподарства,137.0,395.0,5450.0,1325.0,2251.0,0.0,642.0,2867.0,1739.0
2035,Промисловість,478.0,4910.0,1552.0,3374.0,0.0,676.0,0.0,2090.0,1268.0
2035,Сфера послуг,440.0,100.0,295.0,967.0,1642.0,0.0,14.0,1231.0,747.0
2035,Сільське господарство,1119.0,2.0,104.0,144.0,245.0,771.0,0.0,247.0,150.0
2035,Транспорт,3521.0,12.0,214.0,647.0,1098.0,4426.0,0.0,0.0,0.0
2050,Всього,7334.0,621.0,460.1,1920.0,25292.0,3.0,4316.0,1604.0,7446.0
2050,Домогосподарства,0.0,0.0,0.0,403.0,5309.0,0.0,3304.0,834.0,3873.0
2050,Промисловість,1235.0,547.0,276.0,983.0,0.0,0.0,0.0,503.0,2335.0
2050,Сфера послуг,80.0,74.0,184.0,247.0,3252.0,0.0,1012.0,183.0,850.0
2050,Сільське господарство,2232.0,0.0,0.0,33.0,439.0,0.0,0.0,84.0,388.0
2050,Транспорт,3787.0,0.0,0.1,254.0,3346.0,3.0,3346.0,0.0,0.0
