source,sphere,scenario,year,ktne
Біопаливо та відходи,промисловість,Базовий,2012,46.0
Біопаливо та відходи,промисловість,Базовий,2015,86.0
Біопаливо та відходи,промисловість,Базовий,2020,90.0
Біопаливо та відходи,промисловість,Базовий,2025,110.0
Біопаливо та відходи,промисловість,Базовий,2030,130.0
Біопаливо та відходи,промисловість,Базовий,2035,159.0
Біопаливо та відходи,промисловість,Базовий,2040,181.0
Біопаливо та відходи,промисловість,Базовий,2045,201.0
Біопаливо та відходи,промисловість,Базовий,2050,219.0
Теплова енергія з ВДЕ,промисловість,Базовий,2012,5.0
Теплова енергія з ВДЕ,промисловість,Базовий,2015,10.0
Теплова енергія з ВДЕ,промисловість,Базовий,2020,38.0
Теплова енергія з ВДЕ,промисловість,Базовий,2025,42.0
Теплова енергія з ВДЕ,промисловість,Базовий,2030,48.0
Теплова енергія з ВДЕ,промисловість,Базовий,2035,57.0
Теплова енергія з ВДЕ,промисловість,Базовий,2040,60.0
Теплова енергія з ВДЕ,промисловість,Базовий,2045,68.0
Теплова енергія з ВДЕ,промисловість,Базовий,2050,76.0
Електроенергія з ВДЕ,промисловість,Базовий,2012,325.0
Електроенергія з ВДЕ,промисловість,Базовий,2015,232.0
Електроенергія з ВДЕ,промисловість,Базовий,2020,433.0
Електроенергія з ВДЕ,промисловість,Базовий,2025,585.0
Електроенергія з ВДЕ,промисловість,Базовий,2030,680.0
Електроенергія з ВДЕ,промисловість,Базовий,2035,727.0
Електроенергія з ВДЕ,промисловість,Базовий,2040,732.0
Електроенергія з ВДЕ,промисловість,Базовий,2045,737.0
Електроенергія з ВДЕ,промисловість,Базовий,2050,748.0
Вугілля,промисловість,Базовий,2012,8310.0
Вугілля,промисловість,Базовий,2015,5569.0
Вугілля,промисловість,Базовий,2020,5515.0
Вугілля,промисловість,Базовий,2025,6915.0
Вугілля,промисловість,Базовий,2030,7893.0
Вугілля,промисловість,Базовий,2035,9107.0
Вугілля,промисловість,Базовий,2040,10149.0
Вугілля,промисловість,Базовий,2045,11032.0
Вугілля,промисловість,Базовий,2050,11761.0
Електроенергія,промисловість,Базовий,2012,5102.0
Електроенергія,промисловість,Базовий,2015,4065.0
Електроенергія,промисловість,Базовий,2020,5484.0
Електроенергія,промисловість,Базовий,2025,7026.0
Електроенергія,промисловість,Базовий,2030,8171.0
Електроенергія,промисловість,Базовий,2035,9392.0
Електроенергія,промисловість,Базовий,2040,10242.0
Електроенергія,промисловість,Базовий,2045,10642.0
Електроенергія,промисловість,Базовий,2050,10739.0
Газ,промисловість,Базовий,2012,5272.0
Газ,промисловість,Базовий,2015,2762.0
Газ,промисловість,Базовий,2020,2188.0
Газ,промисловість,Базовий,2025,2539.0
Газ,промисловість,Базовий,2030,2809.0
Газ,промисловість,Базовий,2035,3137.0
Газ,промисловість,Базовий,2040,3356.0
Газ,промисловість,Базовий,2045,3559.0
Газ,промисловість,Базовий,2050,3743.0
Теплова енергія,промисловість,Базовий,2012,4538.0
Теплова енергія,промисловість,Базовий,2015,2870.0
Теплова енергія,промисловість,Базовий,2020,3408.0
Теплова енергія,промисловість,Базовий,2025,3464.0
Теплова енергія,промисловість,Базовий,2030,3651.0
Теплова енергія,промисловість,Базовий,2035,3906.0
Теплова енергія,промисловість,Базовий,2040,3966.0
Теплова енергія,промисловість,Базовий,2045,4091.0
Теплова енергія,промисловість,Базовий,2050,4254.0
Нафта та нафтопродукти,промисловість,Базовий,2012,1246.0
Нафта та нафтопродукти,промисловість,Базовий,2015,814.0
Нафта та нафтопродукти,промисловість,Базовий,2020,1055.0
Нафта та нафтопродукти,промисловість,Базовий,2025,1115.0
Нафта та нафтопродукти,промисловість,Базовий,2030,1156.0
Нафта та нафтопродукти,промисловість,Базовий,2035,1200.0
Нафта та нафтопродукти,промисловість,Базовий,2040,1197.0
Нафта та нафтопродукти,промисловість,Базовий,2045,1203.0
Нафта та нафтопродукти,промисловість,Базовий,2050,1216.0
Біопаливо та відходи,населення,Базовий,2012,936.0
Біопаливо та відходи,населення,Базовий,2015,1097.0
Біопаливо та відходи,населення,Базовий,2020,413.0
Біопаливо та відходи,населення,Базовий,2025,332.0
Біопаливо та відходи,населення,Базовий,2030,234.0
Біопаливо та відходи,населення,Базовий,2035,137.0
Біопаливо та відходи,населення,Базовий,2040,39.0
Біопаливо та відходи,населення,Базовий,2045,0.0
Біопаливо та відходи,населення,Базовий,2050,0.0
Теплова енергія з ВДЕ,населення,Базовий,2012,5.0
Теплова енергія з ВДЕ,населення,Базовий,2015,10.0
Теплова енергія з ВДЕ,населення,Базовий,2020,46.0
Теплова енергія з ВДЕ,населення,Базовий,2025,51.0
Теплова енергія з ВДЕ,населення,Базовий,2030,57.0
Теплова енергія з ВДЕ,населення,Базовий,2035,65.0
Теплова енергія з ВДЕ,населення,Базовий,2040,71.0
Теплова енергія з ВДЕ,населення,Базовий,2045,81.0
Теплова енергія з ВДЕ,населення,Базовий,2050,90.0
Електроенергія з ВДЕ,населення,Базовий,2012,198.0
Електроенергія з ВДЕ,населення,Базовий,2015,172.0
Електроенергія з ВДЕ,населення,Базовий,2020,258.0
Електроенергія з ВДЕ,населення,Базовий,2025,280.0
Електроенергія з ВДЕ,населення,Базовий,2030,288.0
Електроенергія з ВДЕ,населення,Базовий,2035,277.0
Електроенергія з ВДЕ,населення,Базовий,2040,265.0
Електроенергія з ВДЕ,населення,Базовий,2045,265.0
Електроенергія з ВДЕ,населення,Базовий,2050,276.0
Вугілля,населення,Базовий,2012,715.0
Вугілля,населення,Базовий,2015,303.0
Вугілля,населення,Базовий,2020,631.0
Вугілля,населення,Базовий,2025,566.0
Вугілля,населення,Базовий,2030,510.0
Вугілля,населення,Базовий,2035,418.0
Вугілля,населення,Базовий,2040,324.0
Вугілля,населення,Базовий,2045,234.0
Вугілля,населення,Базовий,2050,144.0
Електроенергія,населення,Базовий,2012,3105.0
Електроенергія,населення,Базовий,2015,3012.0
Електроенергія,населення,Базовий,2020,3271.0
Електроенергія,населення,Базовий,2025,3360.0
Електроенергія,населення,Базовий,2030,3464.0
Електроенергія,населення,Базовий,2035,3577.0
Електроенергія,населення,Базовий,2040,3702.0
Електроенергія,населення,Базовий,2045,3828.0
Електроенергія,населення,Базовий,2050,3959.0
Газ,населення,Базовий,2012,13760.0
Газ,населення,Базовий,2015,9083.0
