scenario,source,year,Загалом,Населення,Промисловість,Сфера послуг,Сільське господарство,Транспорт
Базовий,Біопаливо та відходи,2012,1029.0,936.0,46.0,27.0,20.0,0.0
Революційний,Біопаливо та відходи,2012,1029.0,936.0,46.0,27.0,20.0,0.0
Базовий,Вугілля,2012,9212.0,715.0,8310.0,161.0,14.0,12.0
Революційний,Вугілля,2012,9212.0,715.0,8310.0,161.0,14.0,12.0
Базовий,Газ,2012,21698.0,13760.0,5272.0,463.0,153.0,2050.0
Революційний,Газ,2012,21698.0,13760.0,5272.0,463.0,153.0,2050.0
Базовий,Електроенергія,2012,11131.0,3105.0,5102.0,1862.0,312.0,750.0
Революційний,Електроенергія,2012,11130.0,3105.0,5102.0,1861.0,312.0,750.0
Базовий,Електроенергія з ВДЕ,2012,709.0,198.0,325.0,118.0,20.0,48.0
Революційний,Електроенергія з ВДЕ,2012,710.0,198.0,325.0,119.0,20.0,48.0
Базовий,Нафта та нафтопродукти,2012,11347.0,71.0,1246.0,78.0,1364.0,8588.0
Революційний,Нафта та нафтопродукти,2012,11347.0,71.0,1246.0,78.0,1364.0,8588.0
Базовий,Сонячна енергія,2012,0.0,0.0,0.0,0.0,0.0,0.0
Революційний,Сонячна енергія,2012,0.0,0.0,0.0,0.0,0.0,0.0
Базовий,Теплова енергія,2012,11853.0,4677.0,4538.0,2326.0,312.0,0.0
Революційний,Теплова енергія,2012,11853.0,4677.0,4538.0,2326.0,312.0,0.0
Базовий,Теплова енергія з ВДЕ,2012,12.0,5.0,5.0,2.0,0.0,0.0
Революційний,Теплова енергія з ВДЕ,2012,12.3,5.0,5.0,2.0,0.3,0.0
Базовий,Біопаливо та відходи,2015,1282.0,1097.0,86.0,46.0,19.0,34.0
Революційний,Біопаливо та відходи,2015,1282.0,1097.0,86.0,46.0,19.0,34.0
Базовий,Вугілля,2015,5952.0,303.0,5569.0,67.0,9.0,4.0
Революційний,Вугілля,2015,5952.0,303.0,5569.0,67.0,9.0,4.0
Базовий,Газ,2015,13741.0,9083.0,2762.0,195.0,129.0,1572.0
Революційний,Газ,2015,13741.0,9083.0,2762.0,195.0,129.0,1572.0
Базовий,Електроенергія,2015,9696.0,3012.0,4065.0,1777.0,289.0,553.0
Революційний,Електроенергія,2015,10233.0,3012.0,4065.265,1777.0,273.0,553.0
Базовий,Електроенергія з ВДЕ,2015,553.0,172.0,232.0,101.0,16.0,32.0
Революційний,Електроенергія з ВДЕ,2015,553.0,172.0,232.0,101.0,16.0,32.0
Базовий,Нафта та нафтопродукти,2015,8776.0,14.0,814.0,92.0,1302.0,6554.0
Революційний,Нафта та нафтопродукти,2015,8776.0,14.0,814.0,92.0,1302.0,6554.0
Базовий,Сонячна енергія,2015,0.0,0.0,0.0,0.0,0.0,0.0
Революційний,Сонячна енергія,2015,0.0,0.0,0.0,0.0,0.0,0.0
Базовий,Теплова енергія,2015,7500.0,2864.0,2870.0,1555.0,211.0,0.0
