Імпорт,Біопаливо та відходи,Всього,Вугілля,Вітер,Газ,Гідро,Нафта,Ресурс для АЕС,Сонце,year,scenario
46899,1465,89519,27344,94,26055,464,10551,22985,40,2015,Базовий
45150,2112,116238,50042,258,33944,907,12252,16951,24,2020,Базовий
40365,2205,129515,60980,370,36513,1030,13126,15544,48,2025,Базовий
43767,2221,139172,68974,378,38546,1117,14229,13989,72,2030,Базовий
47573,2520,149989,75464,387,41036,1123,15340,14429,82,2035,Базовий
52237,2828,157233,80993,396,43660,1130,16078,12537,42,2040,Базовий
54353,3399,163762,86010,396,43810,1133,16837,12554,42,2045,Базовий
58739,3944,168245,90027,430,42761,1140,17753,12554,42,2050,Базовий
46899,1465,89519,27344,94,26055,464,10551,22985,40,2015,Революційний
40603,5857,104419,35081,772,33355,905,11293,16951,252,2020,Революційний
25883,8226,98203,31508,3877,28954,989,9959,13738,1099,2025,Революційний
18061,10808,89376,27427,6836,24394,1071,8440,8551,1946,2030,Революційний
14342,13863,88801,28773,8124,21453,1071,6986,5339,3268,2035,Революційний
13181,17818,85154,26905,10058,19196,1110,5222,21,4881,2040,Революційний
11030,20832,83093,24156,11282,15564,1111,2849,0,7332,2045,Революційний
1650,29136,72782,3706,13996,12261,1114,1224,0,11342,2050,Революційний
