source,is_vde,sphere,year,k_t_ne
Газ,0,Всього,2012,21698.0
Теплова енергія,0,Всього,2012,11853.0
Нафта та нафтопродукти,0,Всього,2012,11347.0
Електроенергія,0,Всього,2012,11130.0
Вугілля,0,Всього,2012,9212.0
Біопаливо та відходи,1,Всього,2012,1029.0
Електроенергія з ВДЕ,1,Всього,2012,710.0
Теплова енергія з ВДЕ,1,Всього,2012,12.3
Сонячна енергія,1,Всього,2012,0.0
Газ,0,Всього,2035,7615.0
Електроенергія,0,Всього,2035,6457.0
Теплова енергія,0,Всього,2035,6435.0
Нафта та нафтопродукти,0,Всього,2035,5873.0
Вугілля,0,Всього,2035,5419.0
Електроенергія з ВДЕ,1,Всього,2035,10964.0
Біопаливо та відходи,1,Всього,2035,5695.0
Теплова енергія з ВДЕ,1,Всього,2035,3904.0
Сонячна енергія,1,Всього,2035,657.0
Електроенергія,0,Всього,2050,1920.0
Теплова енергія,0,Всього,2050,1604.0
Вугілля,0,Всього,2050,621.0
Газ,0,Всього,2050,460.1
Нафта та нафтопродукти,0,Всього,2050,3.0
Електроенергія з ВДЕ,1,Всього,2050,25292.0
Теплова енергія з ВДЕ,1,Всього,2050,7446.0
Біопаливо та відходи,1,Всього,2050,7334.0
Сонячна енергія,1,Всього,2050,4316.0
Вугілля,0,Промисловість,2012,8310.0
Газ,0,Промисловість,2012,5272.0
Електроенергія,0,Промисловість,2012,5102.0
Теплова енергія,0,Промисловість,2012,4538.0
Нафта та нафтопродукти,0,Промисловість,2012,1246.0
Біопаливо та відходи,1,Промисловість,2012,46.0
Теплова енергія з ВДЕ,1,Промисловість,2012,5.0
Сонячна енергія,1,Промисловість,2012,
Електроенергія з ВДЕ,1,Промисловість,2012,
Вугілля,0,Промисловість,2035,4910.0
Електроенергія,0,Промисловість,2035,3374.0
Теплова енергія,0,Промисловість,2035,2090.0
Газ,0,Промисловість,2035,1552.0
Нафта та нафтопродукти,0,Промисловість,2035,676.0
Теплова енергія з ВДЕ,1,Промисловість,2035,1268.0
Біопаливо та відходи,1,Промисловість,2035,478.0
Сонячна енергія,1,Промисловість,2035,
Електроенергія з ВДЕ,1,Промисловість,2035,
Електроенергія,0,Промисловість,2050,983.0
Вугілля,0,Промисловість,2050,547.0
Теплова енергія,0,Промисловість,2050,503.0
Газ,0,Промисловість,2050,276.0
