source	sphere	scenario	2012	2015	2020	2025	2030	2035	2040	2045	2050
Вугілля	загалом	Базовий	9212	5952	6336	7658	8567	9674	10603	11391	12033
Газ	загалом	Базовий	21698	13741	15998	16922	17512	18518	19485	20286	20578
Нафта та нафтопродукти	загалом	Базовий	11347	8776	11075	12162	13234	14242	14912	15433	15891
Теплова енергія	загалом	Базовий	11865	7526	10263	10723	11285	11876	12307	12792	13283
Електроенергія	загалом	Базовий	11840	10233	12698	14790	16373	17990	19170	19862	20282
Біопаливо та відходи	загалом	Базовий	1029	1282	1427	1607	1498	1736	2032	2524	3039
Сонячна енергія	загалом	Базовий	0	0	0	0	0	0	0	0	0
Всього	загалом	Базовий	66991	47510	57797	63862	68469	74036	78511	82288	85107
Біопаливо та відходи	промисловість	Базовий	46	86	90	110	130	159	181	201	219
Теплова енергія з ВДЕ	промисловість	Базовий	5	10	38	42	48	57	60	68	76
Електроенергія з ВДЕ	промисловість	Базовий	325	232	433	585	680	727	732	737	748
Вугілля	промисловість	Базовий	8310	5569	5515	6915	7893	9107	10149	11032	11761
Електроенергія	промисловість	Базовий	5102	4065	5484	7026	8171	9392	10242	10642	10739
Газ	промисловість	Базовий	5272	2762	2188	2539	2809	3137	3356	3559	3743
Теплова енергія	промисловість	Базовий	4538	2870	3408	3464	3651	3906	3966	4091	4254
Нафта та нафтопродукти	промисловість	Базовий	1246	814	1055	1115	1156	1200	1197	1203	1216
Всього	промисловість	Базовий	24844	16408	18212	21797	24539	27684	29883	32756	31532
Біопаливо та відходи	населення	Базовий	936	1097	413	332	234	137	39	0	0
Теплова енергія з ВДЕ	населення	Базовий	5	10	46	51	57	65	71	81	90
Електроенергія з ВДЕ	населення	Базовий	198	172	258	280	288	277	265	265	276
Вугілля	населення	Базовий	715	303	631	566	510	418	324	234	144
Електроенергія	населення	Базовий	3105	3012	3271	3360	3464	3577	3702	3828	3959
Газ	населення	Базовий	13760	9083	11658	12289	12627	13172	13736	14281	14357
Теплова енергія	населення	Базовий	4677	2864	4044	4191	4301	4485	4680	4880	5091
Нафта та нафтопродукти	населення	Базовий	71	14	69	0	0	0	0	0	148
Всього	населення	Базовий	23467	16555	20390	21069	21482	22130	22817	23570	24067
Біопаливо та відходи	транспорт	Базовий	0	34	358	511	513	642	949	1416	1888
Електроенергія з ВДЕ	транспорт	Базовий	48	32	55	63	66	66	66	66	71
Вугілля	транспорт	Базовий	12	4	11	11	12	12	12	12	12
Електроенергія	транспорт	Базовий	750	553	695	753	790	854	922	960	1020
Газ	транспорт	Базовий	2050	1572	1364	1223	1137	1210	1345	1356	1361
Нафта та нафтопродукти	транспорт	Базовий	8588	6554	8481	9414	10321	11109	11697	12136	12357
Всього	транспорт	Базовий	11448	8749	10964	11976	12839	13893	14991	15946	16709
Біопаливо та відходи	сфера послуг	Базовий	27	46	543	627	592	769	833	877	901
Теплова енергія з ВДЕ	сфера послуг	Базовий	2	5	27	32	37	42	46	53	58
Електроенергія з ВДЕ	сфера послуг	Базовий	118	101	158	180	193	192	186	188	195
Вугілля	сфера послуг	Базовий	161	67	164	150	136	119	99	94	96
Газ	сфера послуг	Базовий	463	195	663	733	791	841	883	918	941
Нафта та нафтопродукти	сфера послуг	Базовий	78	92	62	72	57	89	63	48	49
Теплова енергія	сфера послуг	Базовий	2326	1555	2370	2580	2798	2903	3045	3163	3242
Електроенергія	сфера послуг	Базовий	1862	1777	2000	2166	2313	2475	2607	2714	2801
Всього	сфера послуг	Базовий	5037	3838	5986	6541	6916	7429	7762	8054	8283
Біопаливо та відходи	сільське господарство	Базовий	20	19	24	26	28	29	30	31	31
Теплова енергія з ВДЕ	сільське господарство	Базовий	0	1	4	4	5	6	7	7	8
Електроенергія з ВДЕ	сільське господарство	Базовий	20	16	25	29	31	31	30	30	31
Вугілля	сільське господарство	Базовий	14	9	14	16	17	18	19	20	20
Електроенергія	сільське господарство	Базовий	312	289	343	377	406	430	448	461	472
Газ	сільське господарство	Базовий	153	129	125	138	149	158	166	171	176
Теплова енергія	сільське господарство	Базовий	312	211	327	358	388	413	433	449	463
Нафта та нафтопродукти	сільське господарство	Базовий	1364	1302	1408	1562	1700	1844	1956	2046	2121
Всього	сільське господарство	Базовий	2195	1960	2245	2480	2694	2899	3058	3186	3292
Вугілля	загалом	Ліберальний	9212	5952	6278	7371	7973	8850	9588	10223	10662
Газ	загалом	Ліберальний	21698	13741	14804	14224	12586	12679	11887	10061	9566
Нафта та нафтопродукти	загалом	Ліберальний	11347	8776	10619	10921	11591	11688	10749	9599	7749
Теплова енергія	загалом	Ліберальний	11865	7526	9984	9669	9335	8737	7764	6980	6173
Електроенергія	загалом	Ліберальний	11840	10233	11813	12284	12459	13795	15235	16607	17482
Біопаливо та відходи	загалом	Ліберальний	1029	1282	1051	1057	855	1011	1411	1879	3630
Сонячна енергія	загалом	Ліберальний	0	0	0	0	0	279	1492	3414	5396
Всього	загалом	Ліберальний	66991	47510	54548	55525	54800	57039	58125	58763	60658
Біопаливо та відходи	промисловість	Ліберальний	46	86	52	73	94	123	153	184	211
Теплова енергія з ВДЕ	промисловість	Ліберальний	5	10	280	348	407	600	736	771	905
Електроенергія з ВДЕ	промисловість	Ліберальний	325	232	856	1335	1766	2325	2848	3246	3651
Вугілля	промисловість	Ліберальний	8310	5569	5445	6670	7371	8307	9170	9934	10558
Електроенергія	промисловість	Ліберальний	5102	4065	4982	5065	4618	4786	4849	4696	4514
Газ	промисловість	Ліберальний	5272	2762	2151	2381	2371	2417	2432	2474	2467
Теплова енергія	промисловість	Ліберальний	4538	2870	3168	3168	3027	2845	2571	2441	2139
Нафта та нафтопродукти	промисловість	Ліберальний	1246	814	1058	1132	1142	1176	1182	1352	1322
Всього	промисловість	Ліберальний	24844	16408	17992	20172	20794	22578	23941	25100	25766
Біопаливо та відходи	населення	Ліберальний	936	1097	430	319	225	137	39	0	0
Сонячна енергія	населення	Ліберальний	0	0	0	0	0	170	1091	2426	3713
Теплова енергія з ВДЕ	населення	Ліберальний	5	10	317	346	361	433	423	387	406
Електроенергія з ВДЕ	населення	Ліберальний	198	172	462	619	812	1032	1244	1465	1705
Вугілля	населення	Ліберальний	715	303	646	566	510	418	324	195	16
Електроенергія	населення	Ліберальний	3105	3012	2690	2349	2124	2124	2117	2119	2108
Газ	населення	Ліберальний	13760	9083	10419	9446	7823	7722	6794	5707	4934
Теплова енергія	населення	Ліберальний	4677	2864	3588	3146	2687	2056	1480	1224	960
Нафта та нафтопродукти	населення	Ліберальний	71	14	10	0	0	0	0	0	0
Всього	населення	Ліберальний	23467	16555	18563	16790	14542	14091	13513	13523	13842
Біопаливо та відходи	транспорт	Ліберальний	0	34	239	491	447	422	612	756	1213
Електроенергія з ВДЕ	транспорт	Ліберальний	48	32	108	168	247	380	637	1031	1274
Вугілля	транспорт	Ліберальний	12	4	11	11	12	12	12	12	12
Електроенергія	транспорт	Ліберальний	750	553	630	636	645	783	1084	1492	1575
Газ	транспорт	Ліберальний	2050	1572	1574	1778	1820	1984	2015	1119	1414
Нафта та нафтопродукти	транспорт	Ліберальний	8588	6554	8295	8397	8947	9080	8301	7198	6343
Всього	транспорт	Ліберальний	11448	8749	10856	11481	12117	12661	12660	11608	11831
Біопаливо та відходи	сфера послуг	Ліберальний	27	46	311	152	66	82	78	78	79
Сонячна енергія	сфера послуг	Ліберальний	0	0	0	0	0	109	400	988	1683
Теплова енергія з ВДЕ	сфера послуг	Ліберальний	2	5	191	233	298	425	483	422	387
Електроенергія з ВДЕ	сфера послуг	Ліберальний	119	101	264	375	527	654	769	885	991
Вугілля	сфера послуг	Ліберальний	161	67	164	110	67	100	70	72	74
